Timestamp;chassis_volt;judge_vol;chassisPower;judge_power;chassis_current;judge_curr
0;24704;24584;7.016294E+000;7;284;327
1000;24704;24584;7.016294E+000;7;284;327
2000;24704;24584;7.016294E+000;7;284;327
3000;24704;24584;7.016294E+000;7;284;327
4000;24704;24584;7.016294E+000;7;284;327
5000;24704;24584;7.016294E+000;7;284;327
6000;24704;24584;7.016294E+000;7;284;327
7000;24704;24584;7.016294E+000;7;284;327
8000;24704;24584;7.016294E+000;7;284;327
9000;24704;24584;7.016294E+000;7;284;327
10000;24704;24584;7.016294E+000;7;284;327
11000;24704;24584;7.016294E+000;7;284;327
12000;24704;24584;7.016294E+000;7;284;327
13000;24704;24584;7.016294E+000;7;284;327
14000;24704;24584;7.016294E+000;7;284;327
15000;24704;24584;7.016294E+000;7;284;327
16000;24704;24584;7.016294E+000;7;284;327
17000;24704;24584;7.016294E+000;7;284;327
18000;24704;24584;7.016294E+000;7;284;327
19000;24704;24584;7.016294E+000;7;284;327
20000;24673;24584;5.373114E+000;7;217;327
21000;24673;24584;5.373114E+000;7;217;327
22000;24673;24584;5.373114E+000;7;217;327
23000;24673;24584;5.373114E+000;7;217;327
24000;24673;24584;5.373114E+000;7;217;327
25000;24673;24584;5.373114E+000;7;217;327
26000;24673;24584;5.373114E+000;7;217;327
27000;24673;24584;5.373114E+000;7;217;327
28000;24673;24584;5.373114E+000;7;217;327
29000;24673;24584;5.373114E+000;7;217;327
30000;24673;24584;5.373114E+000;7;217;327
31000;24673;24584;5.373114E+000;7;217;327
32000;24673;24584;5.373114E+000;7;217;327
33000;24673;24584;5.373114E+000;7;217;327
34000;24673;24584;5.373114E+000;7;217;327
35000;24673;24584;5.373114E+000;7;217;327
36000;24673;24584;5.373114E+000;7;217;327
37000;24673;24584;5.373114E+000;7;217;327
38000;24673;24584;5.373114E+000;7;217;327
39000;24673;24584;5.373114E+000;7;217;327
40000;24672;24584;4.883412E+000;7;197;327
41000;24672;24584;4.883412E+000;7;197;327
42000;24672;24584;4.883412E+000;7;197;327
43000;24672;24584;4.883412E+000;7;197;327
44000;24672;24584;4.883412E+000;7;197;327
45000;24672;24584;4.883412E+000;7;197;327
46000;24672;24584;4.883412E+000;7;197;327
47000;24672;24584;4.883412E+000;7;197;327
48000;24672;24584;4.883412E+000;7;197;327
49000;24672;24584;4.883412E+000;7;197;327
50000;24672;24584;4.883412E+000;7;197;327
51000;24672;24584;4.883412E+000;7;197;327
52000;24672;24584;4.883412E+000;7;197;327
53000;24672;24584;4.883412E+000;7;197;327
54000;24672;24584;4.883412E+000;7;197;327
55000;24672;24584;4.883412E+000;7;197;327
56000;24672;24584;4.883412E+000;7;197;327
57000;24672;24584;4.883412E+000;7;197;327
58000;24672;24584;4.883412E+000;7;197;327
59000;24672;24584;4.883412E+000;7;197;327
60000;24676;24584;6.688249E+000;7;271;327
61000;24676;24584;6.688249E+000;7;271;327
62000;24676;24584;6.688249E+000;7;271;327
63000;24676;24584;6.688249E+000;7;271;327
64000;24676;24584;6.688249E+000;7;271;327
65000;24676;24584;6.688249E+000;7;271;327
66000;24676;24584;6.688249E+000;7;271;327
67000;24676;24584;6.688249E+000;7;271;327
68000;24676;24584;6.688249E+000;7;271;327
69000;24676;24584;6.688249E+000;7;271;327
70000;24676;24584;6.688249E+000;7;271;327
71000;24676;24584;6.688249E+000;7;271;327
72000;24676;24584;6.688249E+000;7;271;327
73000;24676;24584;6.688249E+000;7;271;327
74000;24676;24584;6.688249E+000;7;271;327
75000;24676;24584;6.688249E+000;7;271;327
76000;24676;24584;6.688249E+000;7;271;327
77000;24676;24584;6.688249E+000;7;271;327
78000;24676;24584;6.688249E+000;7;271;327
79000;24676;24584;6.688249E+000;7;271;327
80000;24717;24584;5.114893E+000;8;206;327
81000;24717;24584;5.114893E+000;8;206;327
82000;24717;24584;5.114893E+000;8;206;327
83000;24717;24584;5.114893E+000;8;206;327
84000;24717;24584;5.114893E+000;8;206;327
85000;24717;24584;5.114893E+000;8;206;327
86000;24717;24584;5.114893E+000;8;206;327
87000;24717;24584;5.114893E+000;8;206;327
88000;24717;24584;5.114893E+000;8;206;327
89000;24717;24584;5.114893E+000;8;206;327
90000;24717;24584;5.114893E+000;8;206;327
91000;24717;24584;5.114893E+000;8;206;327
